                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.57716,                0.28001,                0.85473,                0.99836,                0.99827,                0.99486,                0.90859,                0.57989,                0.23169,                0.82491,              0.0060555,              0.0060555,              0.0060555
                    104,                0.57522,                0.27885,                0.85322,                0.99877,                0.99798,                0.99457,                 0.9067,                0.56959,                0.22312,                0.82437,              0.0060168,              0.0060168,              0.0060168
                    105,                0.57463,                0.27757,                0.85272,                0.99818,                0.99848,                0.99486,                0.91282,                0.56818,                0.22307,                0.82405,              0.0059781,              0.0059781,              0.0059781
                    106,                0.57071,                0.27645,                 0.8518,                0.99761,                0.99827,                0.99485,                0.91321,                0.55884,                0.22294,                0.82288,              0.0059395,              0.0059395,              0.0059395
                    107,                0.57206,                0.27578,                0.85207,                0.99861,                0.99859,                 0.9949,                0.91295,                0.55002,                0.21641,                0.82203,              0.0059008,              0.0059008,              0.0059008
                    108,                0.57267,                0.27599,                0.85334,                0.99659,                0.99849,                0.99443,                0.90914,                0.57661,                0.22747,                0.82465,              0.0058621,              0.0058621,              0.0058621
                    109,                0.56797,                 0.2757,                0.85303,                0.99837,                 0.9983,                0.99479,                0.90686,                0.59012,                0.23104,                 0.8243,              0.0058234,              0.0058234,              0.0058234
                    110,                0.56864,                 0.2732,                0.85294,                 0.9987,                0.99944,                0.99491,                0.91295,                0.55317,                0.22022,                0.82038,              0.0057848,              0.0057848,              0.0057848
                    111,                0.57132,                0.27516,                0.85414,                0.99884,                 0.9988,                0.99491,                0.91377,                 0.5647,                0.22264,                0.82335,              0.0057461,              0.0057461,              0.0057461
                    112,                0.56779,                0.27492,                0.85181,                 0.9982,                0.99914,                0.99499,                0.90948,                0.57917,                0.22344,                0.82628,              0.0057074,              0.0057074,              0.0057074
                    113,                0.56935,                0.27652,                0.85311,                0.99815,                0.99904,                0.99492,                0.91728,                0.53163,                0.21727,                0.81881,              0.0056688,              0.0056688,              0.0056688
                    114,                0.56779,                0.27288,                0.85245,                0.99836,                0.99804,                0.99492,                0.91658,                0.54608,                0.21693,                0.81903,              0.0056301,              0.0056301,              0.0056301
                    115,                 0.5628,                0.27139,                0.85102,                0.99871,                0.99894,                0.99483,                0.91068,                0.56546,                 0.2202,                0.82106,              0.0055914,              0.0055914,              0.0055914
                    116,                0.56196,                0.27268,                0.85097,                0.99826,                0.99859,                0.99486,                0.91831,                0.52857,                0.21262,                0.81907,              0.0055527,              0.0055527,              0.0055527
                    117,                0.55889,                0.26998,                0.85175,                 0.9983,                0.99832,                0.99488,                0.91502,                0.54826,                0.21379,                0.82016,              0.0055141,              0.0055141,              0.0055141
